13,21,-5,4,-12,-4,22,-6,9,0,24,-1,4,-8,0,6,7,10,-2,0,-8,7,
17,19,-2,4,-14,-6,22,0,9,-1,25,0,4,-7,1,7,8,11,0,1,-6,6,
17,19,0,4,-13,-5,21,-4,7,2,28,-1,0,-5,2,7,9,13,0,3,-5,10,
21,22,1,3,-7,-5,24,1,6,6,33,-2,0,-1,6,6,6,14,-1,3,-2,6,
21,23,2,4,-5,-4,26,-4,5,8,23,-1,0,-2,7,7,4,9,-1,3,-2,4,
17,23,6,4,-3,-5,26,-5,4,6,12,-1,2,-1,9,8,4,3,0,5,2,2,
13,27,7,4,-2,-5,25,-9,4,6,6,-5,1,0,10,5,2,-1,-2,5,2,3,
14,27,6,4,-5,-6,27,-10,4,6,7,-4,0,0,12,4,4,-4,0,5,4,2,
14,25,7,3,-8,-7,23,-13,4,3,8,-5,0,-2,11,4,7,-5,1,4,6,2,
13,24,6,3,-9,-6,21,-14,1,1,7,-4,1,0,10,3,8,0,2,6,8,3,
18,23,5,4,-14,-6,18,-11,-2,5,11,0,0,-3,9,2,7,6,6,5,8,4,
22,20,4,7,-17,-6,13,-8,-2,6,22,4,-2,-3,5,2,7,11,6,3,9,7,
22,17,2,7,-16,-4,14,-5,-5,7,22,3,0,-6,5,1,6,15,3,1,7,7,
19,16,2,9,-16,-1,17,-3,-3,10,25,5,-1,-4,3,1,4,15,0,1,4,11,
19,15,3,9,-20,-2,18,0,-1,13,30,6,1,-8,2,1,2,17,0,0,1,9,
20,14,6,9,-16,-2,17,-2,0,12,29,7,1,-4,2,0,4,14,-3,-1,0,9,
19,13,5,6,-15,-2,20,-6,0,13,19,8,4,-3,2,1,2,10,-3,-1,-3,5,
20,13,7,5,-13,-3,17,-6,3,16,19,7,8,-4,0,4,1,6,-2,0,-4,2,
21,14,8,4,-11,-6,17,-7,2,17,16,5,12,-6,0,7,1,2,-4,-2,-4,0,
19,14,6,4,-7,-5,16,-3,2,13,10,4,12,-4,-2,8,3,1,-3,-5,-6,1,
17,13,2,3,-4,-5,16,5,0,11,2,4,13,-6,-2,9,1,-1,-1,-5,-6,-2,
18,15,2,4,-8,-5,17,5,0,8,8,3,11,-11,-2,4,3,1,1,-5,-6,2,
16,17,3,4,-11,-5,20,3,-1,2,3,3,7,-8,-2,3,3,1,0,-6,-6,4,
12,16,5,5,-16,-4,18,4,-2,-2,4,3,6,-8,0,0,3,3,3,-3,-7,-1,
12,17,6,4,-16,-6,17,-6,-4,1,11,2,4,-6,3,0,1,0,0,0,-5,-5,
12,19,6,1,-19,-8,19,-20,-3,1,14,0,3,-3,7,0,1,1,-2,3,-5,-1,
10,19,4,0,-17,-8,20,-20,-4,2,12,-3,3,0,8,4,3,1,-1,3,-5,-2,
11,19,4,0,-16,-9,18,-19,-4,4,16,-1,4,1,11,3,3,0,-1,6,-2,-1,
16,20,3,0,-16,-11,16,-22,-3,6,12,0,0,1,11,3,4,-1,-1,5,0,3,
19,20,4,1,-21,-12,16,-22,-4,4,6,0,2,2,14,3,6,1,1,6,-1,6,
19,23,5,4,-21,-11,16,-12,-3,4,0,2,0,1,12,4,9,2,-4,4,1,6,
8,15,6,7,-20,-14,4,-16,-6,-1,-10,4,0,-2,10,3,8,0,-10,4,1,9,
0,11,4,5,-19,-14,-3,-21,-6,-5,-21,0,-1,-3,6,1,8,-3,-15,2,3,5,
-14,10,7,8,-14,-12,-2,-23,-7,-5,-18,-1,-1,0,2,0,6,0,-17,1,7,7,
-25,11,6,8,-10,-13,1,-20,-7,-5,-11,-1,-3,-3,0,0,5,-2,-19,-3,13,12,
